player,team,2025-26,2026-27,2027-28,2028-29
Stephen Curry,,59606817,62587158.0,,
Nikola Jokic,,55224526,59033114.0,62841702.0,
Joel Embiid,,55224526,59539018.0,64302139.0,69065261.0
Kevin Durant,,54708608,43902439.0,46097561.0,
Anthony Davis,,54126450,58456566.0,62786682.0,
Jimmy Butler,,54126450,56832773.0,,
Jayson Tatum,,54126450,58456566.0,62786682.0,67116798.0
G. Antetokounmpo,,54126450,58456566.0,62786682.0,
K. Towns,,53142264,57078728.0,61015192.0,
Jaylen Brown,,53142264,57078728.0,61015192.0,64951656.0
Devin Booker,,53142264,57078728.0,61015192.0,69877500.0
LeBron James,,52627153,,,
Paul George,,51666090,54126380.0,56586670.0,
Kawhi Leonard,,50000000,50300000.0,,
Zach LaVine,,47499660,48967380.0,,
Trae Young,,46394100,48967380.0,,
Lauri Markkanen,,46394100,46113154.0,49824681.0,53536209.0
Donovan Mitchell,,46394100,50105628.0,53817156.0,
Cade Cunningham,,46394100,50105628.0,53817156.0,57528684.0
Evan Mobley,,46394100,50105628.0,53817156.0,57528684.0
